"Station Name","DURHAM"
"Province","ONTARIO"
"Latitude","44.18"
"Longitude","-80.82"
"Elevation","384.00"
"Climate Identifier","6112171"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1882-01","1882","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1882-02","1882","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1882-03","1882","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1882-04","1882","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1882-05","1882","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1882-06","1882","06","","M","","M","","M","","M","","M","66.0","","0.0","","66.0","","","",,"",,""
"1882-07","1882","07","","M","","M","","M","","M","","M","20.6","","0.0","","20.6","","","",,"",,""
"1882-08","1882","08","","M","","M","","M","","M","","M","136.1","","0.0","","136.1","","","",,"",,""
"1882-09","1882","09","20.6","","9.9","","15.3","","29.4","","-0.6","","52.1","","0.0","","52.1","","","",,"",,""
"1882-10","1882","10","16.3","","5.7","","11.0","","25.0","","-3.3","","51.6","","0.0","","51.6","","","",,"",,""
"1882-11","1882","11","3.8","","-1.8","","1.0","","17.8","","-12.2","","36.8","","61.0","","97.8","","","",,"",,""
"1882-12","1882","12","-2.7","","-8.3","","-5.5","","2.8","","-20.6","","6.4","","154.9","","161.3","","","",,"",,""
"1883-01","1883","01","-7.1","","-13.3","","-10.2","","4.4","","-25.6","","0.0","T","73.7","","73.7","","","",,"",,""
"1883-02","1883","02","-5.6","","-12.4","","-9.0","","9.4","","-20.0","S","5.1","","151.1","","156.2","","","",,"",,""
"1883-03","1883","03","-3.7","","-11.9","","-7.8","","7.8","","-20.6","S","0.0","T","71.1","","71.1","","","",,"",,""
"1883-04","1883","04","7.6","","-1.9","","2.9","","22.2","","-14.4","","62.2","","15.2","","77.5","","","",,"",,""
"1883-05","1883","05","13.1","","3.8","","8.5","","24.4","","-1.7","S","86.6","","0.0","","86.6","","","",,"",,""
"1883-06","1883","06","22.0","","11.5","","16.8","","29.4","","1.7","","119.6","","0.0","","119.6","","","",,"",,""
"1883-07","1883","07","23.1","","12.4","","17.8","","29.4","","5.0","S","98.0","","0.0","","98.0","","","",,"",,""
"1883-08","1883","08","22.8","","10.9","","16.9","","30.0","","3.9","","64.5","","0.0","","64.5","","","",,"",,""
"1883-09","1883","09","17.9","","7.2","","12.6","","27.8","","-3.3","","74.4","","0.0","","74.4","","","",,"",,""
"1883-10","1883","10","10.6","","1.8","","6.2","","25.0","","-5.6","","70.4","","1.0","","71.4","","","",,"",,""
"1883-11","1883","11","3.7","","-1.8","","1.0","","16.7","","-15.6","","79.2","","90.2","","169.4","","","",,"",,""
"1883-12","1883","12","-2.5","","-7.8","","-5.2","","10.0","","-21.1","","19.1","","66.0","","85.1","","","",,"",,""
"1884-01","1884","01","-8.4","","-14.2","","-11.3","","6.7","","-30.0","","7.6","","213.4","","221.0","","","",,"",,""
"1884-02","1884","02","-4.4","","-10.9","","-7.7","","7.2","","-26.7","","15.2","","63.5","","78.7","","","",,"",,""
"1884-03","1884","03","0.7","","-8.1","","-3.7","","13.3","","-24.4","","38.1","","10.2","","48.3","","","",,"",,""
"1884-04","1884","04","8.8","","-0.7","","4.1","","22.2","","-6.7","S","22.6","","10.2","","32.8","","","",,"",,""
"1884-05","1884","05","15.8","","5.8","","10.8","","26.7","","-2.2","","96.5","","2.5","","99.1","","","",,"",,""
"1884-06","1884","06","26.2","","13.2","","19.7","","31.7","","5.6","","43.2","","0.0","","43.2","","","",,"",,""
"1884-07","1884","07","22.9","","11.2","","17.1","","29.4","S","5.6","S","88.9","","0.0","","88.9","","","",,"",,""
"1884-08","1884","08","23.9","","12.0","","18.0","","33.3","","4.4","","26.7","","0.0","","26.7","","","",,"",,""
"1884-09","1884","09","22.1","","11.2","","16.7","","31.1","S","0.6","","84.3","","0.0","","84.3","","","",,"",,""
"1884-10","1884","10","13.1","","4.8","","9.0","","25.6","","-5.0","","112.0","","7.6","","119.6","","","",,"",,""
"1884-11","1884","11","2.8","","-3.3","","-0.3","","13.3","","-11.7","","49.3","","35.6","","84.8","","","",,"",,""
"1884-12","1884","12","-2.4","","-7.7","","-5.1","","10.0","","-27.2","","82.8","","114.3","","197.1","","","",,"",,""
"1885-01","1885","01","-7.6","","-13.5","","-10.6","","7.2","","-23.3","S","27.4","","195.6","","223.0","","","",,"",,""
"1885-02","1885","02","-9.9","","-18.2","","-14.1","","1.7","","-30.6","","0.0","T","38.1","","38.1","","","",,"",,""
"1885-03","1885","03","-6.4","","-15.2","","-10.8","","4.4","","-26.7","","14.2","","119.4","","133.6","","","",,"",,""
"1885-04","1885","04","6.9","","-2.1","","2.4","","26.7","","-13.3","","45.7","","22.9","","68.6","","","",,"",,""
"1885-05","1885","05","17.2","","6.3","","11.8","","26.7","S","-5.0","","82.3","","7.6","","89.9","","","",,"",,""
"1885-06","1885","06","22.2","","9.5","","15.9","","28.9","S","1.7","","85.9","","0.0","","85.9","","","",,"",,""
"1885-07","1885","07","26.4","","14.1","","20.3","","32.2","","5.6","S","78.0","","0.0","","78.0","","","",,"",,""
"1885-08","1885","08","20.7","","10.8","","15.8","","29.4","","4.4","S","103.1","","0.0","","103.1","","","",,"",,""
"1885-09","1885","09","19.2","","8.7","","14.0","","30.6","","2.2","","111.3","","0.0","","111.3","","","",,"",,""
"1885-10","1885","10","10.9","","3.2","","7.1","","23.9","","-9.4","","55.4","","0.0","T","55.4","","","",,"",,""
"1885-11","1885","11","4.1","","-0.7","","1.7","","16.1","","-6.7","","90.4","","45.7","","136.1","","","",,"",,""
"1885-12","1885","12","-1.3","","-6.9","","-4.1","","7.8","S","-21.7","","62.5","","106.7","","169.2","","","",,"",,""
"1886-01","1886","01","-5.9","","-11.3","","-8.6","","8.3","","-25.0","","33.5","","96.5","","130.0","","","",,"",,""
"1886-02","1886","02","-5.2","","-12.7","","-9.0","","8.3","","-31.7","","29.0","","104.1","","133.1","","","",,"",,""
"1886-03","1886","03","0.6","","-6.8","","-3.1","","11.7","","-25.0","","91.4","","38.1","","129.5","","","",,"",,""
"1886-04","1886","04","12.9","","2.6","","7.8","","25.6","","-12.8","","68.1","","15.2","","83.3","","","",,"",,""
"1886-05","1886","05","17.8","","5.3","","11.6","","26.1","","-1.1","","7.6","","0.0","","7.6","","","",,"",,""
"1886-06","1886","06","22.3","","10.1","","16.2","","31.1","","2.2","","59.9","","0.0","","59.9","","","",,"",,""
"1886-07","1886","07","24.9","","11.9","","18.4","","32.2","S","3.9","","23.6","","0.0","","23.6","","","",,"",,""
"1886-08","1886","08","24.2","","13.0","","18.6","","31.7","","5.6","S","106.2","","0.0","","106.2","","","",,"",,""
"1886-09","1886","09","19.3","","9.7","","14.5","","30.0","S","-1.1","","115.3","","0.0","","115.3","","","",,"",,""
"1886-10","1886","10","14.1","","5.1","","9.6","","24.4","S","-3.9","","72.1","","0.0","T","72.1","","","",,"",,""
"1886-11","1886","11","3.3","","-3.4","","-0.1","","19.4","","-14.4","","42.7","","25.4","","68.1","","","",,"",,""
"1886-12","1886","12","-5.0","","-10.9","","-8.0","","6.1","","-22.8","","7.4","","101.6","","109.0","","","",,"",,""
"1887-01","1887","01","-6.3","","-13.8","","-10.1","","7.8","","-26.1","","76.7","","91.4","","168.1","","","",,"",,""
"1887-02","1887","02","-3.7","","-11.6","","-7.7","","8.9","","-21.7","","18.8","","114.3","","133.1","","","",,"",,""
"1887-03","1887","03","-1.9","","-10.2","","-6.1","","7.8","","-17.8","","14.2","","30.5","","44.7","","","",,"",,""
"1887-04","1887","04","8.8","","-1.0","","3.9","","20.6","","-12.2","","114.3","","10.2","","124.5","","","",,"",,""
"1887-05","1887","05","23.3","","10.1","","16.7","","30.6","","3.3","S","51.8","","5.1","","56.9","","","",,"",,""
"1887-06","1887","06","23.7","","12.4","","18.1","","30.6","","4.4","","34.0","","0.0","","34.0","","","",,"",,""
"1887-07","1887","07","27.9","","15.4","","21.7","","32.8","","5.6","","93.0","","0.0","","93.0","","","",,"",,""
"1887-08","1887","08","24.7","","10.9","","17.8","","33.3","S","3.9","S","24.4","","0.0","","24.4","","","",,"",,""
"1887-09","1887","09","19.5","","6.7","","13.1","","30.6","","-2.2","","20.8","","0.0","","20.8","","","",,"",,""
"1887-10","1887","10","9.8","","2.3","","6.1","","23.9","","-9.4","","87.9","","10.2","","98.0","","","",,"",,""
"1887-11","1887","11","3.8","","-2.9","","0.5","","17.2","","-12.2","","104.6","","25.4","","130.0","","","",,"",,""
"1887-12","1887","12","-1.6","","-6.9","","-4.3","","10.0","","-20.6","","61.5","","73.7","","135.1","","","",,"",,""
"1888-01","1888","01","-7.8","","-15.3","","-11.6","","4.4","","-27.8","","0.0","T","68.6","","68.6","","","",,"",,""
"1888-02","1888","02","-4.8","","-12.4","","-8.6","","4.4","S","-29.4","","17.3","","43.2","","60.5","","","",,"",,""
"1888-03","1888","03","-3.8","","-11.8","","-7.8","","10.0","","-25.0","","64.5","","81.3","","145.8","","","",,"",,""
"1888-04","1888","04","7.2","","-2.3","","2.5","","27.8","","-11.7","","44.5","","2.5","","47.0","","","",,"",,""
"1888-05","1888","05","15.4","","4.8","","10.1","","26.7","","-5.0","","69.6","","5.1","","74.7","","","",,"",,""
"1888-06","1888","06","24.4","","11.4","","17.9","","33.3","","0.0","","47.2","","0.0","","47.2","","","",,"",,""
"1888-07","1888","07","25.3","","11.5","","18.4","","29.4","S","4.4","","25.4","","0.0","","25.4","","","",,"",,""
"1888-08","1888","08","22.9","","11.7","","17.3","","29.4","","3.3","","118.9","","0.0","","118.9","","","",,"",,""
"1888-09","1888","09","18.2","","7.5","","12.9","","26.7","","-1.1","","34.0","","5.1","","39.1","","","",,"",,""
"1888-10","1888","10","9.0","","0.8","","4.9","","19.4","","-5.0","S","84.8","","0.0","T","84.8","","","",,"",,""
"1888-11","1888","11","5.0","","-1.8","","1.6","","17.2","","-13.3","","107.2","","8.1","","115.3","","","",,"",,""
"1888-12","1888","12","-0.2","","-6.7","","-3.5","","8.3","","-17.8","","30.5","","25.4","","55.9","","","",,"",,""
"1889-01","1889","01","-1.1","","-7.0","","-4.1","","7.8","","","M","7.6","","10.2","","17.8","","","",,"",,""
"1889-02","1889","02","-5.0","","-14.3","","-9.7","","6.1","","-26.1","","","M","","M","","M","","",,"",,""
"1889-03","1889","03","3.0","","-5.0","","-1.0","","15.6","","-22.8","","0.0","","","M","","M","","",,"",,""
"1889-04","1889","04","10.5","","0.3","","5.4","","22.2","","-6.7","","14.5","","22.9","","37.3","","","",,"",,""
"1889-05","1889","05","17.7","","5.8","","11.8","","31.7","","-3.9","S","58.9","","0.0","T","58.9","","","",,"",,""
"1889-06","1889","06","19.8","","9.9","","14.9","","29.4","S","1.7","","123.4","","0.0","","123.4","","","",,"",,""
"1889-07","1889","07","25.2","","13.2","","19.2","","30.6","","6.1","S","36.8","","0.0","","36.8","","","",,"",,""
"1889-08","1889","08","23.2","","11.9","","17.6","","29.4","S","4.4","","48.0","","0.0","","48.0","","","",,"",,""
"1889-09","1889","09","20.8","","10.0","","15.4","","32.2","","1.7","S","96.3","","0.0","","96.3","","","",,"",,""
"1889-10","1889","10","8.2","","0.0","","4.1","","15.6","S","-7.8","","49.3","","10.2","","59.4","","","",,"",,""
"1889-11","1889","11","5.0","","-1.4","","1.8","","13.3","","-13.3","","50.3","","17.8","","68.1","","","",,"",,""
"1889-12","1889","12","2.9","","-4.3","","-0.7","","15.0","","-18.9","","79.2","","5.1","","84.3","","","",,"",,""
"1890-01","1890","01","0.7","","-6.8","","-3.1","","8.3","S","-17.8","","66.5","","78.7","","145.3","","","",,"",,""
"1890-02","1890","02","-0.7","","-7.9","","-4.3","","12.8","","-17.8","","58.7","","88.9","","147.6","","","",,"",,""
"1890-03","1890","03","-0.7","","-8.8","","-4.8","","7.8","","-23.3","","7.6","","55.9","","63.5","","","",,"",,""
"1890-04","1890","04","11.0","","-0.6","","5.2","","21.7","","-9.4","","50.5","","7.6","","58.2","","","",,"",,""
"1890-05","1890","05","14.1","","3.7","","8.9","","26.7","","-3.9","","49.8","","0.0","T","49.8","","","",,"",,""
"1890-06","1890","06","24.3","","11.7","","18.0","","29.4","S","1.1","","141.2","","0.0","","141.2","","","",,"",,""
"1890-07","1890","07","23.9","","12.6","","18.3","","30.6","","4.4","","48.3","","0.0","","48.3","","","",,"",,""
"1890-08","1890","08","21.3","","11.2","","16.3","","30.6","","3.3","","85.9","","0.0","","85.9","","","",,"",,""
"1890-09","1890","09","18.9","","7.9","","13.4","","28.3","","-1.1","","19.3","","0.0","","19.3","","","",,"",,""
"1890-10","1890","10","11.3","","4.0","","7.7","","23.9","","-4.4","","71.1","","0.0","T","71.1","","","",,"",,""
"1890-11","1890","11","4.8","","-2.9","","1.0","","13.9","","-10.6","","73.7","","12.7","","86.4","","","",,"",,""
"1890-12","1890","12","-3.1","","-10.2","","-6.7","","4.4","","-20.6","","0.0","T","121.9","","121.9","","","",,"",,""
"1891-01","1891","01","-2.1","","-9.6","","-5.9","","4.4","S","-21.7","","20.3","","109.2","","129.5","","","",,"",,""
"1891-02","1891","02","-0.4","","-8.6","","-4.5","","7.2","S","-21.1","","6.6","","83.8","","90.4","","","",,"",,""
"1891-03","1891","03","-0.1","","-8.7","","-4.4","","12.8","","-23.3","","0.0","T","132.1","","132.1","","","",,"",,""
"1891-04","1891","04","10.6","","-0.2","","5.2","","23.9","","-12.2","","52.8","","7.6","","60.5","","","",,"",,""
"1891-05","1891","05","17.6","","3.6","","10.6","","28.9","","-4.4","S","12.2","","0.0","T","12.2","","","",,"",,""
"1891-06","1891","06","25.2","","11.4","","18.3","","32.8","","1.1","","66.0","","0.0","","66.0","","","",,"",,""
"1891-07","1891","07","22.1","","10.2","","16.2","","29.4","S","3.9","","71.6","","0.0","","71.6","","","",,"",,""
"1891-08","1891","08","22.6","","12.1","","17.4","","29.4","S","5.0","","104.6","","0.0","","104.6","","","",,"",,""
"1891-09","1891","09","22.3","","10.7","","16.5","","30.0","","1.1","","31.0","","0.0","","31.0","","","",,"",,""
"1891-10","1891","10","12.1","","2.8","","7.5","","26.7","","-6.7","S","82.3","","0.0","T","82.3","","","",,"",,""
"1891-11","1891","11","4.2","","-2.3","","1.0","","17.2","","-15.0","","108.2","","66.0","","174.2","","","",,"",,""
"1891-12","1891","12","2.5","","-3.8","","-0.7","","9.4","","-16.1","","72.6","","30.5","","103.1","","","",,"",,""
"1892-01","1892","01","-4.7","","-12.6","","-8.7","","8.3","","-23.9","","","M","50.8","","","M","","",,"",,""
"1892-02","1892","02","-2.0","","-9.2","","-5.6","","5.0","S","-20.0","","","M","48.3","","","M","","",,"",,""
"1892-03","1892","03","0.2","","-9.3","","-4.6","","12.8","","-20.0","","","M","10.2","","","M","","",,"",,""
"1892-04","1892","04","8.7","","-1.5","","3.6","","20.0","","-11.7","","11.7","","","M","","M","","",,"",,""
"1892-05","1892","05","15.3","","5.2","","10.3","","27.8","","-2.2","","46.2","","0.0","","46.2","","","",,"",,""
"1892-06","1892","06","23.2","","13.1","","18.2","","30.6","","7.2","","86.4","","0.0","","86.4","","","",,"",,""
"1892-07","1892","07","25.4","","12.4","","18.9","","31.1","","3.9","","121.4","","0.0","","121.4","","","",,"",,""
"1892-08","1892","08","23.8","","12.4","","18.1","","30.6","","7.2","","120.1","","0.0","","120.1","","","",,"",,""
"1892-09","1892","09","20.2","","9.3","","14.8","","28.3","","2.2","","146.3","","0.0","","146.3","","","",,"",,""
"1892-10","1892","10","11.8","","2.6","","7.2","","23.3","","-2.8","S","37.6","","2.5","","40.1","","","",,"",,""
"1892-11","1892","11","2.6","","-3.7","","-0.6","","13.3","","-15.0","","42.7","","40.6","","83.3","","","",,"",,""
"1892-12","1892","12","-2.8","","-8.6","","-5.7","","4.4","","-22.8","","15.2","","91.4","","106.7","","","",,"",,""
"1893-01","1893","01","-7.9","","-15.7","","-11.8","","5.6","","-27.8","","12.7","","109.2","","121.9","","","",,"",,""
"1893-02","1893","02","-5.7","","-14.0","","-9.9","","2.8","","-27.2","","0.0","T","96.5","","96.5","","","",,"",,""
"1893-03","1893","03","0.7","","-8.3","","-3.8","","13.9","","-19.4","","28.7","","12.7","","41.4","","","",,"",,""
"1893-04","1893","04","8.2","","-1.7","","3.3","","19.4","","-10.0","","53.6","","15.2","","68.8","","","",,"",,""
"1893-05","1893","05","16.3","","4.2","","10.3","","25.6","","-2.2","","28.2","","0.0","","28.2","","","",,"",,""
"1893-06","1893","06","25.4","","12.0","","18.7","","32.8","","4.4","","138.9","","0.0","","138.9","","","",,"",,""
"1893-07","1893","07","24.9","","12.1","","18.5","","30.6","","4.4","","85.9","","0.0","","85.9","","","",,"",,""
"1893-08","1893","08","24.5","","11.3","","17.9","","32.2","","5.6","","54.4","","0.0","","54.4","","","",,"",,""
"1893-09","1893","09","19.1","","7.3","","13.2","","26.7","","1.1","S","40.1","","0.0","","40.1","","","",,"",,""
"1893-10","1893","10","14.4","","4.3","","9.4","","27.2","","-6.7","","114.3","","0.0","T","114.3","","","",,"",,""
"1893-11","1893","11","4.9","","-2.8","","1.1","","15.6","S","-11.1","","45.7","","137.2","","182.9","","","",,"",,""
"1893-12","1893","12","-2.7","","-10.4","","-6.6","","11.1","","-23.3","","99.6","","109.2","","208.8","","","",,"",,""
"1894-01","1894","01","-1.2","","-8.0","","-4.6","","7.2","S","-17.8","","45.7","","78.7","","124.5","","","",,"",,""
"1894-02","1894","02","-4.4","","-13.2","","-8.8","","6.7","S","-31.7","","15.2","","83.8","","99.1","","","",,"",,""
"1894-03","1894","03","4.9","","-3.7","","0.6","","23.3","","-14.4","","39.1","","58.4","","97.5","","","",,"",,""
"1894-04","1894","04","12.7","","0.4","","6.6","","24.4","","-12.2","","17.5","","2.5","","20.1","","","",,"",,""
"1894-05","1894","05","16.3","","4.9","","10.6","","26.1","","-2.2","","95.8","","0.0","T","95.8","","","",,"",,""
"1894-06","1894","06","24.6","","11.4","","18.0","","32.8","","-2.2","","66.5","","0.0","","66.5","","","",,"",,""
"1894-07","1894","07","26.7","","13.2","","20.0","","35.0","","4.4","","38.6","","0.0","","38.6","","","",,"",,""
"1894-08","1894","08","24.4","","9.6","","17.0","","31.1","","-1.1","S","34.5","","0.0","","34.5","","","",,"",,""
"1894-09","1894","09","22.5","","10.0","","16.3","","32.2","","-1.1","","71.1","","0.0","","71.1","","","",,"",,""
"1894-10","1894","10","13.3","","3.3","","8.3","","23.3","","-2.8","S","82.6","","0.0","","82.6","","","",,"",,""
"1894-11","1894","11","0.9","","-5.1","","-2.1","","","M","-15.6","S","0.0","T","96.5","","96.5","","","",,"",,""
"1894-12","1894","12","0.9","","-5.4","","-2.3","","10.0","S","-16.7","","35.6","","30.5","","66.0","","","",,"",,""
"1895-01","1895","01","-4.7","","-11.5","","-8.1","","5.6","","-17.8","S","0.0","T","144.8","","144.8","","","",,"",,""
