"Station Name","VALJEAN"
"Province","SASKATCHEWAN"
"Latitude","50.38"
"Longitude","-106.55"
"Elevation","670.60"
"Climate Identifier","4028360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01","1951","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-02","1951","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-03","1951","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-04","1951","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-05","1951","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-06","1951","06","","","","","","","","","","","103.9","","0.0","","103.9","","","",,"",,""
"1951-07","1951","07","","","","","","","","","","","29.2","","0.0","","29.2","","","",,"",,""
"1951-08","1951","08","","","","","","","","","","","128.0","","0.0","","128.0","","","",,"",,""
"1951-09","1951","09","","","","","","","","","","","63.5","","0.0","","63.5","","","",,"",,""
"1951-10","1951","10","","","","","","","","","","","5.6","","11.9","","17.5","","","",,"",,""
"1951-11","1951","11","","","","","","","","","","","0.0","","5.1","","5.1","","","",,"",,""
"1951-12","1951","12","","","","","","","","","","","0.0","","27.9","","27.9","","","",,"",,""
"1952-01","1952","01","","","","","","","","","","","0.0","","12.7","","12.7","","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","0.0","","10.2","","10.2","","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","0.0","","30.5","","30.5","","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","1.3","","0.0","","1.3","","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","22.4","","0.0","","22.4","","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","55.9","","0.0","","55.9","","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","75.4","","0.0","","75.4","","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","17.5","","0.0","","17.5","","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
