"Station Name","WARNER EAST"
"Province","ALBERTA"
"Latitude","49.27"
"Longitude","-111.78"
"Elevation","944.90"
"Climate Identifier","3046952"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01","1963","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-03","1963","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-06","1963","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-07","1963","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-08","1963","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-09","1963","09","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","1.3","","0.0","","1.3","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","0.0","T","3.6","","3.6","","0","",,"",,""
"1963-12","1963","12","","","","","","","","","","","4.8","","25.4","","30.2","","5","",,"",,""
"1964-01","1964","01","","","","","","","","","","","1.3","","13.7","","15.0","","3","",,"",,""
"1964-02","1964","02","","","","","","","","","","","0.8","","17.0","","17.8","","0","T",,"",,""
