"Station Name","POINT LEPREAU"
"Province","NEW BRUNSWICK"
"Latitude","45.07"
"Longitude","66.47"
"Elevation","5.30"
"Climate Identifier","8104200"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1872-01","1872","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-02","1872","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-03","1872","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-04","1872","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-05","1872","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-06","1872","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-07","1872","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-08","1872","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-09","1872","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-10","1872","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1872-11","1872","11","","","","","","","","","","","143.0","","15.5","","158.5","","","",,"",,""
"1872-12","1872","12","","","","","","","","","","","20.8","","91.4","","112.3","","","",,"",,""
"1873-01","1873","01","","","","","","","","","","","113.0","","37.8","","150.9","","","",,"",,""
"1873-02","1873","02","","","","","","","","","","","12.2","","26.4","","38.6","","","",,"",,""
"1873-03","1873","03","","","","","","","","","","","29.5","","","M","","M","","",,"",,""
"1873-04","1873","04","","","","","","","","","","","","M","17.8","","","M","","",,"",,""
"1873-05","1873","05","","","","","","","","","","","37.8","","0.0","","37.8","","","",,"",,""
"1873-06","1873","06","","","","","","","","","","","114.3","","0.0","","114.3","","","",,"",,""
"1873-07","1873","07","","","","","","","","","","","104.4","","0.0","","104.4","","","",,"",,""
"1873-08","1873","08","","","","","","","","","","","45.5","","0.0","","45.5","","","",,"",,""
"1873-09","1873","09","","","","","","","","","","","116.6","","0.0","","116.6","","","",,"",,""
"1873-10","1873","10","","","","","","","","","","","111.5","","0.0","","111.5","","","",,"",,""
"1873-11","1873","11","","","","","","","","","","","85.9","","25.4","","111.3","","","",,"",,""
"1873-12","1873","12","","","","","","","","","","","35.1","","27.9","","63.0","","","",,"",,""
"1874-01","1874","01","","","","","","","","","","","64.5","","40.6","","105.2","","","",,"",,""
"1874-02","1874","02","","","","","","","","","","","29.0","","20.6","","49.5","","","",,"",,""
"1874-03","1874","03","","","","","","","","","","","41.7","","17.8","","59.4","","","",,"",,""
"1874-04","1874","04","","","","","","","","","","","40.1","","49.8","","89.9","","","",,"",,""
"1874-05","1874","05","","","","","","","","","","","103.9","","0.0","","103.9","","","",,"",,""
"1874-06","1874","06","","","","","","","","","","","148.8","","0.0","","148.8","","","",,"",,""
"1874-07","1874","07","","","","","","","","","","","75.4","","0.0","","75.4","","","",,"",,""
"1874-08","1874","08","","","","","","","","","","","119.9","","0.0","","119.9","","","",,"",,""
"1874-09","1874","09","","","","","","","","","","","82.0","","0.0","","82.0","","","",,"",,""
"1874-10","1874","10","","","","","","","","","","","33.8","","0.0","","33.8","","","",,"",,""
"1874-11","1874","11","","","","","","","","","","","96.3","","22.9","","119.1","","","",,"",,""
"1874-12","1874","12","","","","","","","","","","","54.1","","18.5","","72.6","","","",,"",,""
"1875-01","1875","01","","","","","","","","","","","6.9","","93.7","","100.6","","","",,"",,""
"1875-02","1875","02","","","","","","","","","","","102.1","","47.2","","149.4","","","",,"",,""
"1875-03","1875","03","","","","","","","","","","","34.8","","41.7","","76.5","","","",,"",,""
"1875-04","1875","04","","","","","","","","","","","27.7","","10.4","","38.1","","","",,"",,""
"1875-05","1875","05","","","","","","","","","","","63.8","","0.0","","63.8","","","",,"",,""
"1875-06","1875","06","","","","","","","","","","","104.1","","0.0","","104.1","","","",,"",,""
"1875-07","1875","07","","","","","","","","","","","117.3","","0.0","","117.3","","","",,"",,""
"1875-08","1875","08","","","","","","","","","","","82.6","","0.0","","82.6","","","",,"",,""
"1875-09","1875","09","","","","","","","","","","","75.2","","0.0","","75.2","","","",,"",,""
"1875-10","1875","10","","","","","","","","","","","148.6","","0.0","","148.6","","","",,"",,""
"1875-11","1875","11","","","","","","","","","","","95.8","","10.2","","105.9","","","",,"",,""
"1875-12","1875","12","","","","","","","","","","","21.3","","26.2","","47.5","","","",,"",,""
"1876-01","1876","01","","","","","","","","","","","46.5","","39.4","","85.9","","","",,"",,""
"1876-02","1876","02","","","","","","","","","","","108.5","","38.9","","147.3","","","",,"",,""
"1876-03","1876","03","","","","","","","","","","","128.8","","10.4","","139.2","","","",,"",,""
"1876-04","1876","04","","","","","","","","","","","23.1","","10.9","","34.0","","","",,"",,""
"1876-05","1876","05","","","","","","","","","","","106.9","","0.0","","106.9","","","",,"",,""
"1876-06","1876","06","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1876-07","1876","07","","","","","","","","","","","55.6","","0.0","","55.6","","","",,"",,""
"1876-08","1876","08","","","","","","","","","","","55.6","","0.0","","55.6","","","",,"",,""
"1876-09","1876","09","","","","","","","","","","","115.1","","0.0","","115.1","","","",,"",,""
"1876-10","1876","10","","","","","","","","","","","103.4","","0.0","","103.4","","","",,"",,""
"1876-11","1876","11","","","","","","","","","","","145.3","","0.0","","145.3","","","",,"",,""
"1876-12","1876","12","","","","","","","","","","","34.8","","59.7","","94.5","","","",,"",,""
"1877-01","1877","01","","","","","","","","","","","12.2","","72.4","","84.6","","","",,"",,""
"1877-02","1877","02","","","","","","","","","","","22.9","","34.3","","57.2","","","",,"",,""
"1877-03","1877","03","","","","","","","","","","","106.9","","64.8","","171.7","","","",,"",,""
"1877-04","1877","04","","","","","","","","","","","63.2","","0.0","T","63.2","","","",,"",,""
"1877-05","1877","05","","","","","","","","","","","72.6","","0.0","","72.6","","","",,"",,""
"1877-06","1877","06","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1877-07","1877","07","","","","","","","","","","","66.3","","0.0","","66.3","","","",,"",,""
"1877-08","1877","08","","","","","","","","","","","93.7","","0.0","","93.7","","","",,"",,""
"1877-09","1877","09","","","","","","","","","","","24.9","","0.0","","24.9","","","",,"",,""
"1877-10","1877","10","","","","","","","","","","","80.3","","3.8","","84.1","","","",,"",,""
"1877-11","1877","11","","","","","","","","","","","98.6","","0.0","T","98.6","","","",,"",,""
"1877-12","1877","12","","","","","","","","","","","37.3","","11.4","","48.8","","","",,"",,""
"1878-01","1878","01","","","","","","","","","","","103.9","","29.2","","133.1","","","",,"",,""
"1878-02","1878","02","","","","","","","","","","","45.7","","30.5","","76.2","","","",,"",,""
"1878-03","1878","03","","","","","","","","","","","78.5","","69.9","","148.3","","","",,"",,""
"1878-04","1878","04","","","","","","","","","","","61.7","","0.0","T","61.7","","","",,"",,""
"1878-05","1878","05","","","","","","","","","","","50.8","","0.0","","50.8","","","",,"",,""
"1878-06","1878","06","","","","","","","","","","","71.1","","0.0","","71.1","","","",,"",,""
"1878-07","1878","07","","","","","","","","","","","131.6","","0.0","","131.6","","","",,"",,""
"1878-08","1878","08","","","","","","","","","","","91.9","","0.0","","91.9","","","",,"",,""
"1878-09","1878","09","","","","","","","","","","","62.2","","0.0","","62.2","","","",,"",,""
"1878-10","1878","10","","","","","","","","","","","40.6","","0.0","","40.6","","","",,"",,""
"1878-11","1878","11","","","","","","","","","","","73.2","","24.1","","97.3","","","",,"",,""
"1878-12","1878","12","","","","","","","","","","","96.0","","5.1","","101.1","","","",,"",,""
"1879-01","1879","01","","","","","","","","","","","7.6","","77.5","","85.1","","","",,"",,""
"1879-02","1879","02","","","","","","","","","","","32.8","","45.7","","78.5","","","",,"",,""
"1879-03","1879","03","","","","","","","","","","","38.6","","40.6","","79.2","","","",,"",,""
"1879-04","1879","04","","","","","","","","","","","26.4","","40.6","","67.1","","","",,"",,""
"1879-05","1879","05","","","","","","","","","","","75.9","","0.0","","75.9","","","",,"",,""
"1879-06","1879","06","","","","","","","","","","","90.4","","0.0","","90.4","","","",,"",,""
"1879-07","1879","07","","","","","","","","","","","102.4","","0.0","","102.4","","","",,"",,""
"1879-08","1879","08","","","","","","","","","","","159.5","","0.0","","159.5","","","",,"",,""
"1879-09","1879","09","","","","","","","","","","","73.9","","0.0","","73.9","","","",,"",,""
"1879-10","1879","10","","","","","","","","","","","82.8","","0.0","","82.8","","","",,"",,""
"1879-11","1879","11","","","","","","","","","","","55.6","","47.0","","102.6","","","",,"",,""
"1879-12","1879","12","","","","","","","","","","","49.8","","48.3","","98.0","","","",,"",,""
"1880-01","1880","01","","","","","","","","","","","57.7","","22.9","","80.5","","","",,"",,""
"1880-02","1880","02","","","","","","","","","","","35.6","","52.1","","87.6","","","",,"",,""
"1880-03","1880","03","","","","","","","","","","","13.0","","74.9","","87.9","","","",,"",,""
"1880-04","1880","04","","","","","","","","","","","42.2","","1.3","","43.4","","","",,"",,""
"1880-05","1880","05","","","","","","","","","","","73.4","","0.0","","73.4","","","",,"",,""
"1880-06","1880","06","","","","","","","","","","","82.3","","0.0","","82.3","","","",,"",,""
"1880-07","1880","07","","","","","","","","","","","87.4","","0.0","","87.4","","","",,"",,""
"1880-08","1880","08","","","","","","","","","","","48.8","","0.0","","48.8","","","",,"",,""
"1880-09","1880","09","","","","","","","","","","","108.5","","0.0","","108.5","","","",,"",,""
"1880-10","1880","10","","","","","","","","","","","74.2","","0.0","","74.2","","","",,"",,""
"1880-11","1880","11","","","","","","","","","","","110.5","","7.6","","118.1","","","",,"",,""
"1880-12","1880","12","","","","","","","","","","","28.7","","52.1","","80.8","","","",,"",,""
"1881-01","1881","01","","","","","","","","","","","25.4","","54.6","","80.0","","","",,"",,""
"1881-02","1881","02","","","","","","","","","","","29.0","","48.3","","77.2","","","",,"",,""
"1881-03","1881","03","","","","","","","","","","","148.8","","20.3","","169.2","","","",,"",,""
"1881-04","1881","04","","","","","","","","","","","34.0","","0.0","T","34.0","","","",,"",,""
"1881-05","1881","05","","","","","","","","","","","262.6","","0.0","","262.6","","","",,"",,""
"1881-06","1881","06","","","","","","","","","","","95.0","","0.0","","95.0","","","",,"",,""
"1881-07","1881","07","","","","","","","","","","","120.4","","0.0","","120.4","","","",,"",,""
"1881-08","1881","08","","","","","","","","","","","108.5","","0.0","","108.5","","","",,"",,""
"1881-09","1881","09","","","","","","","","","","","101.9","","0.0","","101.9","","","",,"",,""
"1881-10","1881","10","","","","","","","","","","","110.0","","0.0","T","110.0","","","",,"",,""
"1881-11","1881","11","","","","","","","","","","","58.2","","12.2","","70.4","","","",,"",,""
"1881-12","1881","12","","","","","","","","","","","99.8","","14.0","","113.8","","","",,"",,""
"1882-01","1882","01","","","","","","","","","","","41.1","","69.3","","110.5","","","",,"",,""
