"Station Name","SHAWVILLE"
"Province","QUEBEC"
"Latitude","45.62"
"Longitude","-76.47"
"Elevation","167.60"
"Climate Identifier","7038040"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1948-01","1948","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-02","1948","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-03","1948","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-04","1948","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-05","1948","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-06","1948","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-07","1948","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-08","1948","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-09","1948","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-10","1948","10","","","","","","","","","","","44.2","","0.0","","44.2","","","",,"",,""
"1948-11","1948","11","","","","","","","","","","","90.2","","0.0","T","90.2","","","",,"",,""
"1948-12","1948","12","","","","","","","","","","","0.0","T","80.8","","80.8","","","",,"",,""
"1949-01","1949","01","","","","","","","","","","","36.1","","44.5","","80.5","","","",,"",,""
"1949-02","1949","02","","","","","","","","","","","0.0","","27.9","","27.9","","","",,"",,""
"1949-03","1949","03","","","","","","","","","","","21.1","","44.5","","65.5","","","",,"",,""
"1949-04","1949","04","","","","","","","","","","","68.8","","5.1","","73.9","","","",,"",,""
"1949-05","1949","05","","","","","","","","","","","50.8","","0.0","","50.8","","","",,"",,""
"1949-06","1949","06","","","","","","","","","","","50.3","","0.0","","50.3","","","",,"",,""
"1949-07","1949","07","","","","","","","","","","","61.5","","0.0","","61.5","","","",,"",,""
"1949-08","1949","08","","","","","","","","","","","51.1","","0.0","","51.1","","","",,"",,""
"1949-09","1949","09","","","","","","","","","","","99.1","","0.0","","99.1","","","",,"",,""
"1949-10","1949","10","","","","","","","","","","","56.6","","0.0","","56.6","","","",,"",,""
"1949-11","1949","11","","","","","","","","","","","33.5","","19.1","","52.6","","","",,"",,""
"1949-12","1949","12","","","","","","","","","","","66.0","","16.5","","82.6","","","",,"",,""
"1950-01","1950","01","","","","","","","","","","","62.2","","34.3","","96.5","","8","",,"",,""
"1950-02","1950","02","","","","","","","","","","","0.0","","67.3","","67.3","","","M",,"",,""
"1950-03","1950","03","","","","","","","","","","","32.0","","33.5","","65.5","","3","",,"",,""
"1950-04","1950","04","","","","","","","","","","","47.8","","8.1","","55.9","","","M",,"",,""
"1950-05","1950","05","","","","","","","","","","","54.4","","0.0","","54.4","","","M",,"",,""
"1950-06","1950","06","","","","","","","","","","","40.4","","0.0","","40.4","","","M",,"",,""
"1950-07","1950","07","","","","","","","","","","","86.4","","0.0","","86.4","","","M",,"",,""
"1950-08","1950","08","","","","","","","","","","","87.6","","0.0","","87.6","","","M",,"",,""
"1950-09","1950","09","","","","","","","","","","","16.5","","0.0","","16.5","","","M",,"",,""
"1950-10","1950","10","","","","","","","","","","","46.5","","0.0","T","46.5","","","M",,"",,""
"1950-11","1950","11","","","","","","","","","","","73.2","","36.8","","110.0","","8","",,"",,""
"1950-12","1950","12","","","","","","","","","","","11.2","","43.2","","54.4","","","M",,"",,""
"1951-01","1951","01","","","","","","","","","","","34.8","","36.1","","70.9","","","M",,"",,""
"1951-02","1951","02","","","","","","","","","","","20.8","","47.8","","68.6","","3","",,"",,""
"1951-03","1951","03","","","","","","","","","","","46.5","","61.0","","107.4","","","M",,"",,""
"1951-04","1951","04","","","","","","","","","","","101.1","","2.5","","103.6","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","41.9","","0.0","","41.9","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","102.4","","0.0","","102.4","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","89.9","","0.0","","89.9","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","72.9","","0.0","","72.9","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","74.9","","0.0","","74.9","","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","56.6","","0.0","","56.6","","0","",,"",,""
"1951-11","1951","11","","","","","","","","","","","41.7","","40.6","","82.3","","","M",,"",,""
"1951-12","1951","12","","","","","","","","","","","14.5","","71.9","","86.4","","25","",,"",,""
"1952-01","1952","01","","","","","","","","","","","9.1","","67.8","","77.0","","13","",,"",,""
"1952-02","1952","02","","","","","","","","","","","27.9","","27.9","","55.9","","0","T",,"",,""
"1952-03","1952","03","","","","","","","","","","","18.0","","25.4","","43.4","","","M",,"",,""
"1952-04","1952","04","","","","","","","","","","","50.3","","0.0","T","50.3","","","M",,"",,""
"1952-05","1952","05","","","","","","","","","","","140.7","","0.0","","140.7","","","M",,"",,""
"1952-06","1952","06","","","","","","","","","","","73.4","","0.0","","73.4","","","M",,"",,""
"1952-07","1952","07","","","","","","","","","","","129.8","","0.0","","129.8","","","M",,"",,""
"1952-08","1952","08","","","","","","","","","","","89.7","","0.0","","89.7","","","M",,"",,""
"1952-09","1952","09","","","","","","","","","","","67.6","","0.0","","67.6","","","M",,"",,""
"1952-10","1952","10","","","","","","","","","","","31.5","","0.0","","31.5","","","M",,"",,""
"1952-11","1952","11","","","","","","","","","","","60.7","","0.5","","61.2","","0","T",,"",,""
"1952-12","1952","12","","","","","","","","","","","47.0","","25.4","","72.4","","10","",,"",,""
"1953-01","1953","01","","","","","","","","","","","29.2","","30.0","","59.2","","10","",,"",,""
"1953-02","1953","02","","","","","","","","","","","11.4","","17.8","","29.2","","","M",,"",,""
"1953-03","1953","03","","","","","","","","","","","107.4","","5.1","","112.5","","0","",,"",,""
"1953-04","1953","04","","","","","","","","","","","55.4","","0.0","T","55.4","","","M",,"",,""
"1953-05","1953","05","","","","","","","","","","","57.2","","0.0","","57.2","","","M",,"",,""
"1953-06","1953","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1953-07","1953","07","","","","","","","","","","","54.6","","0.0","","54.6","","","M",,"",,""
"1953-08","1953","08","","","","","","","","","","","34.5","","0.0","","34.5","","","M",,"",,""
"1953-09","1953","09","","","","","","","","","","","73.4","","0.0","","73.4","","","M",,"",,""
"1953-10","1953","10","","","","","","","","","","","18.3","","0.0","","18.3","","","M",,"",,""
"1953-11","1953","11","","","","","","","","","","","27.4","","7.6","","35.1","","3","",,"",,""
"1953-12","1953","12","","","","","","","","","","","50.3","","44.5","","94.7","","3","",,"",,""
"1954-01","1954","01","","","","","","","","","","","17.0","","54.6","","71.6","","13","",,"",,""
"1954-02","1954","02","","","","","","","","","","","1.0","","34.3","","35.3","","","M",,"",,""
"1954-03","1954","03","","","","","","","","","","","34.8","","34.3","","69.1","","","M",,"",,""
"1954-04","1954","04","","","","","","","","","","","98.6","","4.3","","102.9","","","M",,"",,""
"1954-05","1954","05","","","","","","","","","","","57.4","","0.0","","57.4","","","M",,"",,""
"1954-06","1954","06","","","","","","","","","","","151.6","","0.0","","151.6","","","M",,"",,""
"1954-07","1954","07","","","","","","","","","","","55.9","","0.0","","55.9","","","M",,"",,""
"1954-08","1954","08","","","","","","","","","","","61.0","","0.0","","61.0","","","M",,"",,""
"1954-09","1954","09","","","","","","","","","","","150.4","","0.0","","150.4","","","M",,"",,""
"1954-10","1954","10","","","","","","","","","","","63.2","","0.0","","63.2","","","M",,"",,""
"1954-11","1954","11","","","","","","","","","","","80.0","","3.0","","83.1","","","M",,"",,""
"1954-12","1954","12","","","","","","","","","","","0.0","","95.3","","95.3","","23","",,"",,""
"1955-01","1955","01","","","","","","","","","","","0.0","","39.4","","39.4","","","M",,"",,""
"1955-02","1955","02","","","","","","","","","","","0.0","","31.8","","31.8","","","M",,"",,""
"1955-03","1955","03","","","","","","","","","","","28.2","","50.8","","79.0","","","M",,"",,""
"1955-04","1955","04","","","","","","","","","","","54.9","","1.3","","56.1","","","M",,"",,""
"1955-05","1955","05","","","","","","","","","","","45.2","","0.0","","45.2","","","M",,"",,""
"1955-06","1955","06","","","","","","","","","","","46.2","","0.0","","46.2","","","M",,"",,""
"1955-07","1955","07","","","","","","","","","","","37.6","","0.0","","37.6","","","M",,"",,""
"1955-08","1955","08","","","","","","","","","","","55.9","","0.0","","55.9","","","M",,"",,""
"1955-09","1955","09","","","","","","","","","","","76.7","","0.0","","76.7","","","M",,"",,""
"1955-10","1955","10","","","","","","","","","","","217.2","","0.0","","217.2","","","M",,"",,""
"1955-11","1955","11","","","","","","","","","","","24.4","","7.6","","32.0","","","M",,"",,""
"1955-12","1955","12","","","","","","","","","","","6.4","","35.1","","41.4","","15","",,"",,""
"1956-01","1956","01","","","","","","","","","","","6.6","","25.4","","32.0","","8","",,"",,""
"1956-02","1956","02","","","","","","","","","","","0.0","","58.4","","58.4","","0","",,"",,""
"1956-03","1956","03","","","","","","","","","","","0.0","","41.1","","41.1","","10","",,"",,""
"1956-04","1956","04","","","","","","","","","","","88.4","","7.6","","96.0","","","M",,"",,""
"1956-05","1956","05","","","","","","","","","","","137.4","","0.0","","137.4","","0","",,"",,""
"1956-06","1956","06","","","","","","","","","","","34.0","","0.0","","34.0","","0","",,"",,""
"1956-07","1956","07","","","","","","","","","","","132.3","","0.0","","132.3","","0","",,"",,""
"1956-08","1956","08","","","","","","","","","","","126.2","","0.0","","126.2","","0","",,"",,""
"1956-09","1956","09","","","","","","","","","","","52.1","","0.0","","52.1","","0","",,"",,""
"1956-10","1956","10","","","","","","","","","","","28.2","","0.0","","28.2","","0","",,"",,""
"1956-11","1956","11","","","","","","","","","","","25.7","","47.0","","72.6","","33","",,"",,""
"1956-12","1956","12","","","","","","","","","","","20.3","","25.4","","45.7","","8","",,"",,""
"1957-01","1957","01","","","","","","","","","","","13.7","","42.2","","55.9","","5","",,"",,""
"1957-02","1957","02","","","","","","","","","","","10.7","","33.5","","44.2","","3","",,"",,""
"1957-03","1957","03","","","","","","","","","","","9.9","","4.6","","14.5","","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","20.8","","2.5","","23.4","","0","",,"",,""
"1957-05","1957","05","","","","","","","","","","","48.8","","0.0","","48.8","","0","",,"",,""
"1957-06","1957","06","","","","","","","","","","","171.2","","0.0","","171.2","","0","",,"",,""
"1957-07","1957","07","","","","","","","","","","","74.2","","0.0","","74.2","","0","",,"",,""
"1957-08","1957","08","","","","","","","","","","","22.4","","0.0","","22.4","","0","",,"",,""
"1957-09","1957","09","","","","","","","","","","","139.4","","0.0","","139.4","","0","",,"",,""
"1957-10","1957","10","","","","","","","","","","","75.7","","0.0","","75.7","","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","76.2","","7.1","","83.3","","3","",,"",,""
"1957-12","1957","12","","","","","","","","","","","35.6","","17.5","","53.1","","0","T",,"",,""
"1958-01","1958","01","","","","","","","","","","","5.6","","41.4","","47.0","","25","",,"",,""
"1958-02","1958","02","","","","","","","","","","","21.6","","79.8","","101.3","","15","",,"",,""
"1958-03","1958","03","","","","","","","","","","","0.0","","29.2","","29.2","","","M",,"",,""
"1958-04","1958","04","","","","","","","","","","","29.2","","9.7","","38.9","","","M",,"",,""
"1958-05","1958","05","","","","","","","","","","","46.5","","0.0","","46.5","","","M",,"",,""
"1958-06","1958","06","","","","","","","","","","","82.0","","0.0","","82.0","","","M",,"",,""
"1958-07","1958","07","","","","","","","","","","","65.0","","0.0","","65.0","","","M",,"",,""
"1958-08","1958","08","","","","","","","","","","","72.6","","0.0","","72.6","","","M",,"",,""
"1958-09","1958","09","","","","","","","","","","","130.6","","0.0","","130.6","","","M",,"",,""
"1958-10","1958","10","","","","","","","","","","","45.2","","0.0","","45.2","","","M",,"",,""
"1958-11","1958","11","","","","","","","","","","","32.3","","19.1","","51.3","","","M",,"",,""
"1958-12","1958","12","","","","","","","","","","","0.0","","55.4","","55.4","","13","",,"",,""
"1959-01","1959","01","","","","","","","","","","","19.1","","53.8","","72.9","","8","",,"",,""
